Element,Sample 0 250.0,Sample 1 250.0,Sample 2 250.0,Sample 3 250.0,Sample 4 250.0,Sample 5 250.0,Sample 6 250.0,Sample 7 250.0,Sample 8 250.0,Sample 9 250.0
Au perc,-0.007309163486072891,0.02260204649044508,0.05066452858590546,0.15818647790703932,0.28392663417569397,0.57792742414125,0.8827957775341897,1.1835945775938308,1.1254760417027128,1.5323803948057158
Au perc err,0.013220019899926314,0.013236391156047297,0.013253416247953427,0.013563100308628603,0.014297747176054285,0.01700022243995001,0.020761456215622157,0.02566268940558924,0.024661840647044433,0.031103997356932526
Au umol,-0.09277162519484324,0.28687668426672297,0.6430599979875959,2.0077833348846035,3.6037414320764,7.335349179754078,11.204893576815437,15.02278513052932,14.28511507583189,19.449752343578112
Au umol err,0.16779522493391144,0.16800301725374647,0.16821910839033588,0.17214977619664742,0.18147428836076093,0.21577548065974092,0.26351497516847844,0.32572392279409157,0.3130206406631934,0.3947877743269789
